港澳台,#group#
TVB明珠,https://mytv.cdn.loc.cc/o12.php?id=mzt
TVBS新闻台,http://rihou.cc:555/tv/[FY]tvbS新闻
翡翠台,https://o11.163189.xyz/stream/tvb/fct4k/
华丽翡翠台,https://o11.163189.xyz/stream/live/hlt/
凤凰香港,https://cdn9.163189.xyz/smt3.1.1.php?id=hkphoenix_twn
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
龙华电影,https://cdn8.163189.xyz/163189/lhdy
龙华戏剧,https://cdn8.163189.xyz/163189/lhxj
龙华日韩,https://cdn8.163189.xyz/163189/lhrh
龙华偶像,https://cdn8.163189.xyz/163189/lhox
龙华经典,https://cdn8.163189.xyz/163189/lhjd

澳门,#genre#
澳视澳门,https://cdn6.101.qzz.io/163189/asam
澳视澳门,http://iptv.4666888.xyz/iptv2A.php?id=41
澳视澳门,http://r.jdshipin.com/n2YZI
澳视Macau ,http://php.jdshipin.com/TVOD/iptv.php?id=as
澳视Macau ,https://cdn6.101.qzz.io/163189/as
澳视Macau ,http://r.jdshipin.com/QFhCq
澳门综艺,https://cdn6.101.qzz.io/163189/amzy
澳门体育,http://cdn6.veryfast.filegear-sg.me/live/amty/stream.m3u8
澳门体育,https://cdn6.101.qzz.io/163189/amty

台湾,#genre#
中天新聞(梯子),https://stream1.freetv.fun/1b67bc523c86ffa05707cd3f9471cfe1ced1c17d0537471788e00679a1d6cde3.m3u8
中天新聞,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=uZNy6a&tk=2nDfMgqDmiqe
中天新聞,https://stream1.freetv.fun/d0dc419e572496e04901fdd844b4f116a46a43cf2651e93153312310bd703995.m3u8
中天新聞,https://stream1.freetv.fun/966a882718752fcf477567b8ecca5a53feb6bbf6b7e60a8d1030f9be6892c25d.m3u8
台视财经HD ,http://74.91.26.218:82/live/ttvcj.m3u8
华视HD ,http://74.91.26.218:82/live/cts.m3u8
华视HD ,https://t.freetv.fun/live/hua-shi-2.ts
华视教育体育文化,http://74.91.26.218:82/live/ctsjy.m3u8
中視HD ,http://74.91.26.218:82/live/ctv.m3u8
中視HD ,http://165.154.226.214:50007/of-4gtv-4gtv040/index.m3u8?proxy=true
中視HD ,https://stream1.freetv.fun/71452b2d800ddbab4c04d56a1a0fc217af67502c171e2cdf11afeb724ddae007.m3u8
中视经典HD ,http://74.91.26.218:82/live/ctvjd.m3u8
中视菁采HD ,http://74.91.26.218:82/live/ctvjc.m3u8
公視,http://74.91.26.218:82/live/pts.m3u8
公视台语台,http://74.91.26.218:82/live/ptsty.m3u8
公視戲劇,https://stream1.freetv.fun/04b3a7cbbc832bbba2b720c1211a49f8f0663c18021ab85200b1bd0fe0cf713e.m3u8
台視HD ,http://74.91.26.218:82/live/ttv.m3u8
台視HD ,http://165.154.226.214:50007/li-4gtv-4gtv066/index.m3u8?proxy=true
台视综合HD ,http://74.91.26.218:82/live/ttvzh.m3u8
台视综合HD ,http://iptv.4666888.xyz/iptv2A.php?id=51
民视,http://74.91.26.218:82/live/ftv.m3u8
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视台湾台,http://74.91.26.218:82/live/ftvtw.m3u8
民視第一台,http://74.91.26.218:82/live/ftvdy.m3u8
民視第一台,https://stream1.freetv.fun/19ee45515520ddf60e585588407481e11751df85fcd5cbdb78204803130e7036.m3u8
民視第一台,http://165.154.226.214:50007/li-4gtv-4gtv003/index.m3u8?proxy=true
民視旅遊,https://stream1.freetv.fun/3439333a186efc0756e2eba2d5dadafc25d63abc56ae450e1d9df49c0180668d.m3u8
民视综艺,http://iptv.4666888.xyz/iptv2A.php?id=46
民视综艺,https://stream1.freetv.fun/1b47ca26b5937e3c39bafc6969f66e1ef01d0ea00773163e5b7a9b7fccf082c5.m3u8
民视影劇,http://iptv.4666888.xyz/iptv2A.php?id=53
民視影劇,https://stream1.freetv.fun/07a927f5ea19746f63e8e92cd1889151f4edb274910ea867c19eaf31e04a9901.m3u8
八大綜藝台,http://165.154.226.214:50007/li-4gtv-4gtv039/index.m3u8?proxy=true
八大精彩台,http://165.154.226.214:50007/li-4gtv-4gtv034/index.m3u8?proxy=true
环球电视台,http://utv1.hqtvzb.com:9999/hls/world.m3u8
镜新聞,https://d36dgdk71xuzzg.cloudfront.net/v1/manifest/3a2ac8e6b6c76471996ebf627393d9c9417a60b6/linetv-6-627778910172-MediaTailor-production/c9b2313d-efdd-4777-9fae-573be8a86755/0.m3u8
镜新聞,http://rihou.cc:555/tv/[Hk]闽镜新闻
CTS華視新聞资讯,http://74.91.26.218:82/live/ctsnews.m3u8
CTS華視新聞资讯,http://220.135.64.124:5050/of-4gtv-4gtv052/index.m3u8?proxy=true
中視新聞HD ,http://74.91.26.218:82/live/ctvnews.m3u8
中視新聞HD ,http://220.135.64.124:5050/of-4gtv-4gtv074/index.m3u8?proxy=true
中視新聞HD ,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=EsUGeR&tk=2nDfMgqDmiqe
台视新闻HD ,http://74.91.26.218:82/live/ttvnews.m3u8
東森新聞台HD ,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=Jeiop7&tk=2nDfMgqDmiqe
民視新聞台,http://74.91.26.218:82/live/ftvnews.m3u8
年代新聞HD ,http://kkk.888.3116598.xyz/api.php?n=HKTV&id=yYOFfz&tk=2nDfMgqDmiqe
寰宇新聞台,http://free.cnlive.club/channel/n43c34be8.m3u8?q=111.170.171.148



🔞台湾直播,#genre#
驚艷台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/87.ts
驚艷台,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/85.ts
潘朵拉,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/86.ts
松视1,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/88.ts
松视2,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/89.ts
松視3,http://15.204.105.50:25461/live/G2s9zK2n9m/xDtwVfWM8T/90.ts
24×7东京热,http://1tv41.icu:8080/LaLa34@yahoo.com/LaLa7678/159976
24×7日本道,http://1tv41.icu:8080/LaLa34@yahoo.com/LaLa7678/159958
24x7啪啪啪,http://7707bo.trustdeveloppment.com/live/cx_15642.flv




广东移动源,#group#



广东汕头移动,#genre#
CHC动作电影,http://183.239.108.37:1698/hls/99/index.m3u8
CHC家庭影院,http://183.239.108.37:1698/hls/80/index.m3u8
凤凰卫视HD,http://183.239.108.37:1698/hls/96/index.m3u8
凤凰资讯HD,http://183.239.108.37:1698/hls/95/index.m3u8
凤凰香港HD,http://183.239.108.37:1698/hls/97/index.m3u8
TVBplus,http://183.239.108.37:1698/hls/130/index.m3u8
天映经典,http://183.239.108.37:1698/hls/94/index.m3u8
TVB翡翠HD,http://183.239.108.37:1698/hls/92/index.m3u8
TVB明珠HD,http://183.239.108.37:1698/hls/93/index.m3u8
民视,http://183.239.108.37:1698/hls/112/index.m3u8
民视,http://183.239.108.37:1698/hls/112/index.m3u8
民视,http://183.239.108.37:1698/hls/133/index.m3u8
广东影视推荐,http://183.239.108.37:1698/hls/64/index.m3u8
广东影视推荐2,http://183.239.108.37:1698/hls/89/index.m3u8
影视推荐,http://183.239.108.37:1698/hls/129/index.m3u8
电影轮播,http://183.239.108.37:1698/hls/150/index.m3u8
广东卫视高清,http://183.239.108.37:1698/hls/2/index.m3u8
广东新闻高清,http://183.239.108.37:1698/hls/11/index.m3u8
大湾区卫视高清,http://183.239.108.37:1698/hls/15/index.m3u8
广东经济科技高清,http://183.239.108.37:1698/hls/14/index.m3u8
广东体育高清,http://183.239.108.37:1698/hls/12/index.m3u8
广东少儿高清,http://183.239.108.37:1698/hls/17/index.m3u8
广东影视高清,http://183.239.108.37:1698/hls/16/index.m3u8
广东民生高清,http://183.239.108.37:1698/hls/10/index.m3u8
广东珠江高清,http://183.239.108.37:1698/hls/13/index.m3u8
岭南戏曲高清,http://183.239.108.37:1698/hls/75/index.m3u8
深圳卫视高清,http://183.239.108.37:1698/hls/39/index.m3u8
深圳都市高清,http://183.239.108.37:1698/hls/62/index.m3u8
深圳电视剧HD,http://183.239.108.37:1698/hls/61/index.m3u8
深圳少儿高清,http://183.239.108.37:1698/hls/72/index.m3u8
汕尾新闻HD,http://183.239.108.37:1698/hls/65/index.m3u8
汕尾文化生活HD,http://183.239.108.37:1698/hls/5/index.m3u8
珠海电视台HD,http://183.239.108.37:1698/hls/67/index.m3u8
梅州综合HD,http://183.239.108.37:1698/hls/71/index.m3u8
揭阳生活HD,http://183.239.108.37:1698/hls/7/index.m3u8
揭阳综合HD,http://183.239.108.37:1698/hls/6/index.m3u8
潮州民生HD,http://183.239.108.37:1698/hls/9/index.m3u8
潮州综合HD,http://183.239.108.37:1698/hls/8/index.m3u8
汕头综合HD,http://183.239.108.37:1698/hls/3/index.m3u8
汕头经济生活HD,http://183.239.108.37:1698/hls/4/index.m3u8
广州新闻HD,http://183.239.108.37:1698/hls/63/index.m3u8
东莞新闻HD,http://183.239.108.37:1698/hls/69/index.m3u8
中山综合HD,http://183.239.108.37:1698/hls/68/index.m3u8
佛山城市生活HD,http://183.239.108.37:1698/hls/70/index.m3u8
普宁台HD,http://183.239.108.37:1698/hls/100/index.m3u8
潮南电视台HD,http://183.239.108.37:1698/hls/91/index.m3u8
惠州-1HD,http://183.239.108.37:1698/hls/66/index.m3u8
广东戏1,http://183.239.108.37:1698/hls/98/index.m3u8
广东戏2,http://183.239.108.37:1698/hls/134/index.m3u8
CCTV-1高清,http://183.239.108.37:1698/hls/1/index.m3u8
CCTV-2高清,http://183.239.108.37:1698/hls/18/index.m3u8
CCTV-3高清,http://183.239.108.37:1698/hls/19/index.m3u8
CCTV-4高清,http://183.239.108.37:1698/hls/20/index.m3u8
CCTV-5高清,http://183.239.108.37:1698/hls/21/index.m3u8
CCTV-5+高清,http://183.239.108.37:1698/hls/22/index.m3u8
CCTV-6高清,http://183.239.108.37:1698/hls/23/index.m3u8
CCTV-7高清,http://183.239.108.37:1698/hls/24/index.m3u8
CCTV-8高清,http://183.239.108.37:1698/hls/25/index.m3u8
CCTV-9高清,http://183.239.108.37:1698/hls/26/index.m3u8
CCTV-10高清,http://183.239.108.37:1698/hls/27/index.m3u8
CCTV-11高清,http://183.239.108.37:1698/hls/28/index.m3u8
CCTV-12高清,http://183.239.108.37:1698/hls/29/index.m3u8
CCTV-16高清,http://183.239.108.37:1698/hls/33/index.m3u8
CCTV-13高清,http://183.239.108.37:1698/hls/30/index.m3u8
CCTV-14高清,http://183.239.108.37:1698/hls/31/index.m3u8
CCTV-15高清,http://183.239.108.37:1698/hls/32/index.m3u8
CCTV-17高清,http://183.239.108.37:1698/hls/34/index.m3u8
CETV-1高清,http://183.239.108.37:1698/hls/59/index.m3u8
CCTV怀旧剧场,http://183.239.108.37:1698/hls/77/index.m3u8
CCTV第一剧场,http://183.239.108.37:1698/hls/78/index.m3u8
CCTV风云足球,http://183.239.108.37:1698/hls/76/index.m3u8
CCTV风云剧场,http://183.239.108.37:1698/hls/79/index.m3u8
CCTV央视台球,http://183.239.108.37:1698/hls/86/index.m3u8



移动央卫,#genre#
CCTV1,http://39.165.39.49:19901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://39.165.39.49:19901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://39.165.39.49:19901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4,http://39.165.39.49:19901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://39.165.39.49:19901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://39.165.39.49:19901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://39.165.39.49:19901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://39.165.39.49:19901/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://39.165.39.49:19901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://39.165.39.49:19901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV11,http://39.165.39.49:19901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV12,http://39.165.39.49:19901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV13,http://39.165.39.49:19901/tsfile/live/1084_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://39.165.39.49:19901/tsfile/live/1085_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://39.165.39.49:19901/tsfile/live/1086_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV17,http://39.165.39.49:19901/tsfile/live/1088_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5+,http://39.165.39.49:19901/tsfile/live/1089_1.m3u8?key=txiptv&playlive=0&authid=0
中国教育,http://39.165.39.49:19901/tsfile/live/1090_1.m3u8?key=txiptv&playlive=0&authid=0
河南卫视,http://39.165.39.49:19901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://39.165.39.49:19901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://39.165.39.49:19901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://39.165.39.49:19901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://39.165.39.49:19901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://39.165.39.49:19901/tsfile/live/1131_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://39.165.39.49:19901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://39.165.39.49:19901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://39.165.39.49:19901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://39.165.39.49:19901/tsfile/live/1141_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://39.165.39.49:19901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://39.165.39.49:19901/tsfile/live/1149_1.m3u8?key=txiptv&playlive=0&authid=0
金鹰卡通,http://39.165.39.49:19901/tsfile/live/1156_1.m3u8?key=txiptv&playlive=0&authid=0
嘉佳卡通,http://39.165.39.49:19901/tsfile/live/1157_1.m3u8?key=txiptv&playlive=0&authid=0
卡酷动画,http://39.165.39.49:19901/tsfile/live/1158_1.m3u8?key=txiptv&playlive=0&authid=0
炫动卡通,http://39.165.39.49:19901/tsfile/live/1159_1.m3u8?key=txiptv&playlive=0&authid=0
优漫卡通,http://39.165.39.49:19901/tsfile/live/1092_1.m3u8?key=txiptv&playlive=0&authid=0
文体旅游,http://39.165.39.49:19901/tsfile/live/1094_1.m3u8?key=txiptv&playlive=0&authid=0
都市频道,http://39.165.39.49:19901/tsfile/live/1106_1.m3u8?key=txiptv&playlive=0&authid=0
民生频道,http://39.165.39.49:19901/tsfile/live/1109_1.m3u8?key=txiptv&playlive=0&authid=0
法制频道,http://39.165.39.49:19901/tsfile/live/1110_1.m3u8?key=txiptv&playlive=0&authid=0
电视剧频,http://39.165.39.49:19901/tsfile/live/1111_1.m3u8?key=txiptv&playlive=0&authid=0
新闻频道,http://39.165.39.49:19901/tsfile/live/1112_1.m3u8?key=txiptv&playlive=0&authid=0
公共频道,http://39.165.39.49:19901/tsfile/live/1114_1.m3u8?key=txiptv&playlive=0&authid=0
快乐垂钓,http://39.165.39.49:19901/tsfile/live/1115_1.m3u8?key=txiptv&playlive=0&authid=0
戏曲频道,http://39.165.39.49:19901/tsfile/live/1118_1.m3u8?key=txiptv&playlive=0&authid=0
文物宝库,http://39.165.39.49:19901/tsfile/live/1119_1.m3u8?key=txiptv&playlive=0&authid=0
梨园频道,http://39.165.39.49:19901/tsfile/live/1120_1.m3u8?key=txiptv&playlive=0&authid=0
武术世界,http://39.165.39.49:19901/tsfile/live/1121_1.m3u8?key=txiptv&playlive=0&authid=0
调解剧场,http://39.165.39.49:19901/tsfile/live/1124_1.m3u8?key=txiptv&playlive=0&authid=0
风尚河南,http://39.165.39.49:19901/tsfile/live/1125_1.m3u8?key=txiptv&playlive=0&authid=0
全纪实频道,http://39.165.39.49:19901/tsfile/live/1126_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://live1.jzjsnm.cn/live1/cctv1_sd.m3u8?auth_key=1674380689129-0-0-33b866062e0fd04f6716d1178a54ec89
CCTV2,http://live1.jzjsnm.cn/live1/cctv2_sd.m3u8?auth_key=1674380714768-0-0-169f569dcf4861f4fcee2f147582afb2
CCTV4,http://live1.jzjsnm.cn/live1/cctv4_sd.m3u8?auth_key=1674380730443-0-0-52065a31109414e7ca8eee2262cde29c
CCTV9,http://live1.jzjsnm.cn/live1/cctv9_sd.m3u8?auth_key=1674380742710-0-0-a5ee3907e3b6981efecef9bdbdd305cd
CCTV10,http://live1.jzjsnm.cn/live1/cctv10_sd.m3u8?auth_key=1674380760270-0-0-9db2fec388bf6f405b9060ba98f9848d
CCTV12,http://live1.jzjsnm.cn/live1/cctv12_sd.m3u8?auth_key=1674380775443-0-0-84c3332beebc39185caeecc7291c7528
CCTV13,http://live1.jzjsnm.cn/live1/cctv13_sd.m3u8?auth_key=1674380790066-0-0-f80315c25ec44778e829c9d9b4cbb843
CCTV14,http://live1.jzjsnm.cn/live1/cctv14_sd.m3u8?auth_key=1674380806614-0-0-f88361d26a1ad60b954e40ba15b0a21f
CCTV15,http://live1.jzjsnm.cn/live1/cctv15_sd.m3u8?auth_key=1674380822365-0-0-980cab839c86129c4e63e163019d4695
北京卫视,http://live1.jzjsnm.cn/live1/beijing_sd.m3u8?auth_key=1674380838880-0-0-3de900dceb7b3e68fc8ca6dd48628631
天津卫视,http://live1.jzjsnm.cn/live1/tianjin_sd.m3u8?auth_key=1674380847204-0-0-f0a12cb2dbf24d6ab632ce26692bc1c9
河北卫视,http://live1.jzjsnm.cn/live1/hebei_sd.m3u8?auth_key=1674380851136-0-0-b27018959cdc61a8f498b8c759c7d992
辽宁卫视,http://live1.jzjsnm.cn/live1/liaoning_sd.m3u8?auth_key=1674384719494-0-0-a10dd4996266e8aa995196366bd463fe
黑龙江卫视,http://live1.jzjsnm.cn/live1/heilongjiang_sd.m3u8?auth_key=1674384723609-0-0-826e5e9cb0b72c542f54fae0a5bb5aa7
吉林卫视,http://live1.jzjsnm.cn/live1/jilin_sd.m3u8?auth_key=1674380621741-0-0-a26770b1097eceabd72b4c3d7f26be5b
东方卫视,http://live1.jzjsnm.cn/live1/shanghai_sd.m3u8?auth_key=1674384729585-0-0-6e217e7f8c5ab9fba2299b0b88685cf0
东南卫视,http://live1.jzjsnm.cn/live1/fujiandongnan_sd.m3u8?auth_key=1674384757505-0-0-f1870b9819c26f11f25e7f619f316862
广东卫视,http://live1.jzjsnm.cn/live1/guangdong_sd.m3u8?auth_key=1674384778304-0-0-697b97e78c0200a66b85de0ee2ce9a33
深圳卫视,http://live1.jzjsnm.cn/live1/shenzhen_sd.m3u8?auth_key=1674384785991-0-0-3ac98f1479307e7b7d4b7b20bbd53be8
湖北卫视,http://live1.jzjsnm.cn/live1/hubei_sd.m3u8?auth_key=1674384773702-0-0-3618eda3c7aa5305bc201b14f519db1e
浙江卫视,http://live1.jzjsnm.cn/live1/zhejiang_sd.m3u8?auth_key=1674384741181-0-0-b0d3d583ee4176865132270fa1930ca8
安徽卫视,http://live1.jzjsnm.cn/live1/anhui_sd.m3u8?auth_key=1674384752488-0-0-cf341a9e011aac17800bde44e02ffb5f
江苏卫视,http://live1.jzjsnm.cn/live1/jiangsu_sd.m3u8?auth_key=1674384747063-0-0-ea2da3e84ca1c2cf3689147c1ba0c6eb
四川卫视,http://live1.jzjsnm.cn/live1/sichuang_sd.m3u8?auth_key=1674384813397-0-0-5a2295828e24be4c332914b5d5ac1ceb
重庆卫视,http://live1.jzjsnm.cn/live1/chongqing_sd.m3u8?auth_key=1674384793775-0-0-892cf335f1f820040343f7f8d9431842
山东卫视,http://live1.jzjsnm.cn/live1/shandong_sd.m3u8?auth_key=1674384766403-0-0-3b864bfd57e57d2f6262d19132b3bde9
山西卫视,http://live1.jzjsnm.cn/live1/shanxi_sd.m3u8?auth_key=1674380856917-0-0-99bf343ca985bafccff828766d399c54
江西卫视,http://live1.jzjsnm.cn/live1/jiangxi_sd.m3u8?auth_key=1674384761862-0-0-21ac38217ac94abd08fba081e48711b0
广西卫视,http://live1.jzjsnm.cn/live1/guangxi_sd.m3u8?auth_key=1674384782046-0-0-2db7f33b30186694a59ba8c5a05729f6
云南卫视,http://live1.jzjsnm.cn/live1/yunnan_sd.m3u8?auth_key=1674384802586-0-0-6851a5efd91acf61255e0fb9aa862184
河南卫视,http://live1.jzjsnm.cn/live1/henan_sd.m3u8?auth_key=1674384769832-0-0-6abdf45238fea763c626e38cc6c11913
甘肃卫视,http://live1.jzjsnm.cn/live1/gansu_sd.m3u8?auth_key=1674384828826-0-0-d9a684f8f64614eb974c5c6069fd7ea1
